Town,Inhabitants,y_lat,x_lon,node_id
Bogács,2169.0,47.88916223900003,20.53203500000006,1168307735
Bogád,1186.0,46.08923000000004,18.31430408200004,337745006
Bogádmindszent,420.0,45.91124730043903,18.03761700000839,408997793
Bogdása,256.0,45.88564000100007,17.79955072900003,410434577
Bogyiszló,2125.0,46.40148539700004,18.82758500000006,1328510866
Bogyoszló,636.0,47.55585500000007,17.16537595600005,418738955
Bojt,602.0,47.19836000000004,21.71884911600006,10200940015
Bókaháza,294.0,46.77550927184862,17.0996174552192,1311763424
Bokod,2266.0,47.47273000000007,18.24901414300007,420119381
Bokor,103.0,47.93781806278075,19.53310961267991,2018231540
Boldog,2963.0,47.62072500000005,19.68388080900007,1745681044
Boldogasszonyfa,441.0,46.19492000000008,17.82968631500006,16771505
Boldogkőújfalu,665.0,48.31699500000008,21.25989754800003,4329721557
Boldogkőváralja,980.0,48.34305000000006,21.23847703100006,266939849
Boldva,2488.0,48.23472000000004,20.81253812900007,9364240762
Bolhás,398.0,46.25476753800007,17.27822500000008,740728606
Bolhó,730.0,46.04225500100006,17.29631866700004,10710813017
Bóly,3722.0,45.95169500000003,18.52818666700006,408962643
Boncodfölde,364.0,46.86562153831981,16.73896787136795,12352214607
Bonyhád,12207.0,46.33519434500005,18.53948000000003,213323264
Bonyhádvarasd,427.0,46.35979499900003,18.49360172300004,411310162
Bonnya,260.0,46.59382000000005,17.91316611600007,2525779248
Bordány,3344.0,46.31939000000006,19.91773837500006,411798973
Borgáta,247.0,47.160880662442,17.09752135807727,420522163
Borjád,416.0,45.93223999900005,18.46374544800005,408953972
Borota,1224.0,46.28539500000005,19.20704045100007,742241292
Borsfa,704.0,46.50266000000005,16.78593764900006,412813852
Borsodbóta,836.0,48.21283500000004,20.38948190600007,473406792
Borsodgeszt,283.0,47.95653236400005,20.69469000000004,1786404868
Borsodivánka,656.0,47.70412500100008,20.64372872900003,281159997
Borsodnádasd,2979.0,48.11485000100004,20.23255195500008,473407616
Borsodszentgyörgy,1139.0,48.17781000000008,20.19089828500006,2943899760
Borsodszirák,1228.0,48.25920000000008,20.75995906400004,541964140
Borsosberény,896.0,47.96701000000007,19.10785718400007,1647304681
Borszörcsök,398.0,47.13523500000008,17.43024436600007,1861967071
Borzavár,760.0,47.27683867800005,17.82855000000006,9807192988
Bosta,145.0,45.95043760191954,18.21480169149936,18330642
Botpalád,849.0,48.02996000100006,22.80010419200005,414691207
Botykapeterd,361.0,46.0608987696618,17.87832376402694,349099595
Bozzai,297.0,47.20512265081322,16.75689263044475,2772258554
Bozsok,371.0,47.31937500000004,16.49219437200003,26313263
Bózsva,212.0,48.46506000000005,21.46073782800005,248819313
Bő,755.0,47.3816686341647,16.8128185348979,419593490
Bőcs,2731.0,48.05052000000006,20.97166453500006,4581543057
Böde,279.0,46.83561683122262,16.72341638058812,10836172962
Bödeháza,49.0,46.64638607511368,16.39892466144217,733641918
